Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,NZVC,Адр,Знчн
044,A040,045,A040,040,E04C,000,0044,E04C,1000,,
045,6041,046,6041,041,0200,000,0045,DE4C,1001,,
046,2042,047,2042,042,4041,000,0046,4040,0001,,
047,E043,048,E043,043,4040,000,0047,4040,0001,043,4040
048,0100,049,0100,048,0100,000,0048,4040,0001,,
