Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,NZVC,Адр,Знчн
042,0200,043,0200,042,0200,000,0042,0000,0100,,
043,4041,044,4041,041,E04C,000,0043,E04C,1000,,
044,6040,045,6040,040,0200,000,0044,DE4C,1001,,
045,E04B,046,E04B,04B,DE4C,000,0045,DE4C,1001,04B,DE4C
046,A04A,047,A04A,04A,4041,000,0046,4041,0001,,
047,204B,048,204B,04B,DE4C,000,0047,4040,0001,,
048,E04C,049,E04C,04C,4040,000,0048,4040,0001,04C,4040
049,0100,04A,0100,049,0100,000,0049,4040,0001,,
